operator_provider,error_code,error_name,description,category,stage,retry,portal_action,source,verification
Jio,689,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,690,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,691,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,692,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,693,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,694,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,695,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,696,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,697,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,698,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,699,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Provider PDF,0,DELIVERED,DELIVERED,Delivery,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,1,UNKNOWN_SUBSCRIBER,UNKNOWN SUBSCRIBER,Subscriber / Number,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,10,INVALID_SOURCE_ADDRESS,INVALID SOURCE ADDRESS,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,100,DND,DND,DND / Preference,DLR/Error,NO,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,101,ACCOUNT_DETAILS_NOT_FOUND_AT_ROUTING,ACCOUNT DETAILS NOT FOUND AT ROUTING,Routing / Account,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,102,SENDER_ID_BLOCKED,SENDER ID BLOCKED,Header / Sender,DLR/Error,NO,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,103,ROUTE_NOT_ACTIVE,ROUTE NOT ACTIVE,Routing / Account,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,1033,CREDIT_LIMIT_EXCEEDED,CREDIT LIMIT EXCEEDED,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,104,OFF_NET_NOT_ACTIVE_FOR_ACCOUNT_ON_NET_ROUTES_NOT_DEFINED,OFF-NET NOT ACTIVE FOR ACCOUNT/ ON-NET ROUTES NOT DEFINED,Routing / Account,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,105,ON_NET_NOT_ACTIVE_FOR_ACCOUNT_OFF_NET_ROUTES_NOT_DEFINED,ON-NET NOT ACTIVE FOR ACCOUNT/ OFF-NET ROUTES NOT DEFINED,Routing / Account,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,106,ROUTES_NOT_CONFIGURED_FOR_ACCOUNT,ROUTES NOT CONFIGURED FOR ACCOUNT,Routing / Account,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,107,ROUTING_DISABLE_FOR_ACCOUNT,ROUTING DISABLE FOR ACCOUNT,Routing / Account,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,108,ROUTE_BLOCKED_FOR_THIS_SERIES,ROUTE BLOCKED FOR THIS SERIES,Routing / Account,DLR/Error,NO,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,109,MSISDN_SERIES_NOT_CONFIGURED,MSISDN SERIES NOT CONFIGURED,Subscriber / Number,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,11,TELESERVICE_NOT_PROVISIONED,TELESERVICE NOT PROVISIONED,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,110,NOT_ABLE_TO_GET_FINAL_ROUTE,NOT ABLE TO GET FINAL ROUTE,Routing / Account,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,111,SPAM_KEYWORD_FOUND,SPAM KEYWORD FOUND,Template / Content,DLR/Error,NO,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,112,NOT_A_VALID_TEMPLATE,NOT A VALID TEMPLATE,Template / Content,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,113,MANDATORY_WORDS_NOT_FOUND,MANDATORY WORDS NOT FOUND,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,114,DEFAULT_ROUTE_NOT_FOUND_IN_CONFIGURED_ROUTES,DEFAULT ROUTE NOT FOUND IN CONFIGURED ROUTES,Routing / Account,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,115,ROUTE_NOT_CONFIGURED_AT_PLATFORM_LEVEL,ROUTE NOT CONFIGURED AT PLATFORM LEVEL,Routing / Account,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,12,ILLEGAL_EQUIPMENT,ILLEGAL EQUIPMENT,Equipment / Protocol,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,123,INTERNATIONAL_ROAMING,INTERNATIONAL ROAMING,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,124,MESSAGE_EXPIRED_AT_SMSC_LEVEL,MESSAGE EXPIRED AT SMSC LEVEL,Network / SMSC,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,13,OPERATOR_CALLBARRED,OPERATOR CALLBARRED,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,15,CUG_REJECT,CUG REJECT,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,2,RDS_NOT_SUPPORTED_SERVICE,RDS NOT SUPPORTED SERVICE,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,20,MULTIPLE_SUBMISSIONS_ON_SINGLE_NUMBER,Multiple Submissions on Single Number,Subscriber / Number,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,200,OPERATOR_BLOCKED_FOR_ACCOUNT,OPERATOR BLOCKED FOR ACCOUNT,Routing / Account,DLR/Error,NO,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,21,FACILITY_NOT_SUPPORTED,FACILITY NOT SUPPORTED,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,221,MSISDN_BLOCKED,MSISDN BLOCKED,Subscriber / Number,DLR/Error,NO,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,222,MESSAGE_CONTENT_IS_BLACKLISTED,MESSAGE CONTENT IS BLACKLISTED,Template / Content,DLR/Error,NO,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,224,MESSAGE_CONTENT_BLOCKED_REGEX,MESSAGE CONTENT BLOCKED REGEX,Template / Content,DLR/Error,NO,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,225,MESSAGE_CONTENT_IS_BLACKLISTED_AT_OPERATOR,MESSAGE CONTENT IS BLACKLISTED AT OPERATOR,Template / Content,DLR/Error,NO,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,23,POWER_REGISTRATION_FAILURE,POWER REGISTRATION FAILURE,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,24,MAPUE_NEGATIVE_PW_CHECK,MAPUE_NEGATIVE_PW_CHECK,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,25,NO_HANDOVER_NUMBER_AVAILABLE,NO HANDOVER NUMBER AVAILABLE,Subscriber / Number,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,252,MESSAGE_VALIDITY_EXPIRED,MESSAGE VALIDITY EXPIRED,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,27,ABSENT_SUBSCRIBER,ABSENT SUBSCRIBER,Subscriber / Number,DLR/Error,MAYBE,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,277,DR_NOT_RECEIEVD_FROM_TELCO,DR NOT RECEIEVD FROM TELCO,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,29,SHORT_TERM_DENIAL,SHORT TERM DENIAL,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,31,SUBSCRIBER_BUSY_FOR_MT_SMS,SUBSCRIBER BUSY FOR MT SMS,Subscriber / Number,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,32,MEMORY_CAPACITY_EXCEEDED,MEMORY CAPACITY EXCEEDED,Other,DLR/Error,MAYBE,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,33,MESSAGE_WAITING_LIST_FULL,MESSAGE WAITING LIST FULL,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,34,SYSTEM_FAILURE,SYSTEM FAILURE,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,35,DATA_MISSING,DATA MISSING,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,36,UNEXPECTED_DATA_VALUE,UNEXPECTED DATA VALUE,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,37,SM_DELIVERY_FAILURE,SM-DELIVERY FAILURE,Delivery,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,42,NO_RESPONSE_FROM_PEER,NO RESPONSE FROM PEER,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,5,UNIDENTIFIED_SUBSCRIBER,UNIDENTIFIED SUBSCRIBER,Subscriber / Number,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,50,UNKNOWN_ERROR,UNKNOWN ERROR,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,6,ABSENT_SUBSCRIBER_V2,ABSENT SUBSCRIBER V2,Subscriber / Number,DLR/Error,MAYBE,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,63,GT_ERROR,GT ERROR,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,642-649,TEMPLATE_RESERVED,TEMPLATE_RESERVED,Template / Content,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,7,UNKNOWN_EQUIPMENT,UNKNOWN EQUIPMENT,Equipment / Protocol,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,74,INVALID_HEADER_IN_MSG,INVALID HEADER IN MSG,Header / Sender,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,8,FSM_TIMEOUT,FSM TIMEOUT,Network / SMSC,DLR/Error,MAYBE,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,801,DAMSG_LIMIT_EXCEEDED_CONTENT_,DAMSG_LIMIT_EXCEEDED (Content),Template / Content,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,802,DA_LIMIT_EXCEEDED_MSISDN_,DA_LIMIT_EXCEEDED (Msisdn),Subscriber / Number,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,803,SUBMIT_SM_RESPONSE_NOT_RECEIVED_FROM_TELCO,SUBMIT_SM RESPONSE NOT RECEIVED FROM TELCO,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,804,ALL_PARTS_OF_LONG_SMS_NOT_RECEIEVED_WITHIN_THE_CONFIGURE,ALL PARTS OF LONG SMS NOT RECEIEVED WITHIN THE CONFIGURE,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,87,PROVIDER_ERROR,PROVIDER ERROR,Other,DLR/Error,MAYBE,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,877,DR_NOT_RECEIEVD_FROM_TELCO,DR NOT RECEIEVD FROM TELCO,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,88,SRI_TIMEOUT,SRI TIMEOUT,Network / SMSC,DLR/Error,MAYBE,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,89,INVALID_PACKET_AT_SMSC_LEVEL,INVALID PACKET AT SMSC LEVEL,Network / SMSC,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,9,ILLEGAL_SUBSCRIBER,ILLEGAL SUBSCRIBER,Subscriber / Number,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,90,USER_ABORT,USER-ABORT,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,91,PROVIDER_ABORT,PROVIDER-ABORT,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,92,MSC_NUMBER_MISSING,MSC NUMBER MISSING,Subscriber / Number,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,93,EQUIPMENT_PROTOCOL_ERROR,Equipment protocol error,Equipment / Protocol,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,94,EQUIPMENT_NOT_SM_EQUIPPED,Equipment not SM equipped,Equipment / Protocol,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,95,UNKNOWN_SERVICE_CENTRE,Unknown service centre,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,96,SERVICE_CENTRE_CONGESTION,Service Centre congestion,Other,DLR/Error,MAYBE,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,97,INVALID_SCHEDULE_DELIVERY_TIME,INVALID SCHEDULE DELIVERY TIME,Delivery,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,98,SUBSCRIBER_NOT_SC_SUBSCRIBER,Subscriber not SC subscriber,Subscriber / Number,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
Provider PDF,99,INVALID_SME_ADDRESS,Invalid SME address,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,ANUJerror (1).pdf,Uploaded source
SmartPing,2001,IF_SUBSCRIBER_NOT_IN_DB,If Subscriber not in DB,Subscriber / Number,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,smartpingerrorcode.xlsx,Uploaded source
SmartPing,2002,IF_SUBSCRIBER_IS_IN_DB_BUT_PASSED_ALL_CHECKS,If Subscriber is in DB but passed all checks,Subscriber / Number,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,smartpingerrorcode.xlsx,Uploaded source
SmartPing,2003,IF_SUBSCRIBER_IS_IN_DB_BUT_IN_ACTIVE,If Subscriber is in DB but In-Active,Subscriber / Number,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,smartpingerrorcode.xlsx,Uploaded source
SmartPing,2004,IF_SUBSCRIBER_IS_IN_DB_NOT_IN_DB_WITH_SMS_IS_NOT_PROMO,If Subscriber is in DB/Not in DB with SMS is not Promo,Subscriber / Number,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,smartpingerrorcode.xlsx,Uploaded source
SmartPing,2005,CONSENT_GIVEN_VERIFIED,Consent given verified,Consent,DLR/Error,NO,Check provider/gateway logs and documentation,smartpingerrorcode.xlsx,Uploaded source
SmartPing,2006,CONTENT_IS_T_OR_SI,Content is T or SI,Template / Content,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,smartpingerrorcode.xlsx,Uploaded source
SmartPing,2007,CONTENT_SCRUBBING_EXTEMPTED,Content Scrubbing Extempted,Template / Content,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,smartpingerrorcode.xlsx,Uploaded source
SmartPing,4000,REDIS_ERROR,Redis Error,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,smartpingerrorcode.xlsx,Uploaded source
SmartPing,4001,REDIS_REQUEST_TIMEOUT,Redis request Timeout,Network / SMSC,DLR/Error,MAYBE,Check provider/gateway logs and documentation,smartpingerrorcode.xlsx,Uploaded source
SmartPing,4002,NOT_FOUND_IN_REDIS_DB,Not found in Redis DB,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,smartpingerrorcode.xlsx,Uploaded source
SmartPing,4004,CONTENT_ID_NOT_FOUND_IN_REDIS_DB,Content Id not found in Redis DB,Template / Content,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,smartpingerrorcode.xlsx,Uploaded source
SmartPing,5101,FULLY_BLOCKED_OR_PROMO_BLOCKED,Fully blocked or promotional traffic blocked,DND/Preference,DLR,NO,Check DND/preference/consent,Public SmartPing mapping,DOCUMENTED/PUBLIC
SmartPing,5101,IF_CATEGORY_IS_0_OR_50_,If Category is 0 or 50.,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,smartpingerrorcode.xlsx,Uploaded source
SmartPing,5102,PREFERENCE_CATEGORY_FAILURE,Failed due to preference category,DND/Preference,DLR,NO,Check DND/preference/consent,Public SmartPing mapping,DOCUMENTED/PUBLIC
SmartPing,5103,PREFERENCE_MODE_FAILURE,Failed due to preference communication mode,DND/Preference,DLR,NO,Check DND/preference/consent,Public SmartPing mapping,DOCUMENTED/PUBLIC
SmartPing,5103,IF_SUBSCRIBER_CMODE_IS_10_OR_12_,If Subscriber cmode is 10 or 12.,Subscriber / Number,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,smartpingerrorcode.xlsx,Uploaded source
SmartPing,5104,IF_OPSTYPE_IS_ACTIVE_IN_DLT,If Opstype is active in DLT,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,smartpingerrorcode.xlsx,Uploaded source
SmartPing,5104,PREFERENCE_ACTIVE,Preference status is active,Preference,DLR,NO,Check DND/preference/consent,Public SmartPing mapping,DOCUMENTED/PUBLIC
SmartPing,5105,IF_DAY_CODE_FOUND_IN_SUBSCRIBER_PREFERENCE_DAY,If day code found in Subscriber Preference Day,DND / Preference,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,smartpingerrorcode.xlsx,Uploaded source
SmartPing,5105,PREFERRED_DAY_BLOCKED,Preferred day is blocked,Preference,DLR,NO,Check DND/preference/consent,Public SmartPing mapping,DOCUMENTED/PUBLIC
SmartPing,5106,IF_TIME_CODE_FOUND_IN_SUBSCRIBER_PREFERENCE_TIME,If Time code found in Subscriber Preference Time,DND / Preference,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,smartpingerrorcode.xlsx,Uploaded source
SmartPing,5106,PREFERRED_TIME_BLOCKED,Preferred time is blocked,Preference,DLR,NO,Check DND/preference/consent,Public SmartPing mapping,DOCUMENTED/PUBLIC
SmartPing,5107,BLACKOUT_TIME,Blackout time,Preference,DLR,NO,Check DND/preference/consent,Public SmartPing mapping,DOCUMENTED/PUBLIC
SmartPing,5107,IF_USER_NOT_REG_ON_DND_BUT_CURRENT_RESTRICTED_BLACKOUT_,If user not reg. on DND but current restricted (Blackout),DND / Preference,DLR/Error,NO,Check provider/gateway logs and documentation,smartpingerrorcode.xlsx,Uploaded source
SmartPing,5108,BLACKOUT_TIME_WHEN_DND_APPLIES_ON_SE_TEMPLATE,Blackout Time When DND applies on SE Template,DND / Preference,DLR/Error,NO,Check provider/gateway logs and documentation,smartpingerrorcode.xlsx,Uploaded source
SmartPing,5108,PROMO_PREFERENCE_CONFLICT,Promotional content/preference conflict,Preference,DLR,NO,Check DND/preference/consent,Public SmartPing mapping,DOCUMENTED/PUBLIC
SmartPing,5109,PREFERENCE_CONSENT_CONFLICT,Preference/consent category conflict,Preference/Consent,DLR,NO,Check DND/preference/consent,Public SmartPing mapping,DOCUMENTED/PUBLIC
SmartPing,5201,HEADER_NOT_ACTIVE,Header not active,Header,DLR,NO,Check Header/Sender ID,Public SmartPing mapping,DOCUMENTED/PUBLIC
SmartPing,5201,IF_HEADER_NOT_ACTIVE,If Header not Active,Header / Sender,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,smartpingerrorcode.xlsx,Uploaded source
SmartPing,5202,HEADER_BLACKLISTED,Header blacklisted,Header,DLR,NO,Check Header/Sender ID,Public SmartPing mapping,DOCUMENTED/PUBLIC
SmartPing,5202,IF_HEADER_IS_BLACKLISTED_,If Header is Blacklisted.,Header / Sender,DLR/Error,NO,Check provider/gateway logs and documentation,smartpingerrorcode.xlsx,Uploaded source
SmartPing,5203,HEADER_NOT_FOUND,Header not found/registered,Header,DLR,NO,Check Header/Sender ID,Public SmartPing mapping,DOCUMENTED/PUBLIC
SmartPing,5203,IF_HEADER_NOT_FOUND_REGISTERED,If Header not found/registered,Header / Sender,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,smartpingerrorcode.xlsx,Uploaded source
SmartPing,5204,HDR_OP_INACTIVE,HDR_OP_INACTIVE,Other,DLR/Error,NO,Check provider/gateway logs and documentation,smartpingerrorcode.xlsx,Uploaded source
SmartPing,5204,HDR_OP_INACTIVE,Header operator inactive,Header,DLR,NO,Check Header/Sender ID,Public SmartPing mapping,DOCUMENTED/PUBLIC
SmartPing,5205,ENTITY_ID_XML_MISMATCH,Entity ID not matched with XML,Entity,DLR,NO,Check Entity/PE ID,Public SmartPing mapping,DOCUMENTED/PUBLIC
SmartPing,5206,ALPHABETIC_PROMO_PORT,Alphabetic request on promotional port,Header/Route,DLR,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Public SmartPing mapping,DOCUMENTED/PUBLIC
SmartPing,5206,PORT_IS_PROMO_GETTING_TRANS_HITS,Port is Promo getting Trans hits,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,smartpingerrorcode.xlsx,Uploaded source
SmartPing,5207,PORT_IS_TRANS_GETTING_PROMO_HITS,Port is Trans getting Promo hits,Other,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,smartpingerrorcode.xlsx,Uploaded source
SmartPing,5208,HDR_CASE_SEN_CLI_GOVT_HEADER_,HDR_CASE_SEN_CLI (Govt. Header),Header / Sender,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,smartpingerrorcode.xlsx,Uploaded source
SmartPing,5210,ENTITY_ID_NOT_MATCHING_WITH_DESIRE_USER_ID,Entity ID not matching with desire User_ID,Entity,DLR/Error,PROVIDER-DEPENDENT,Check provider/gateway logs and documentation,smartpingerrorcode.xlsx,Uploaded source
SmartPing,5213,HEADER_SUSPENDED_USAGE,Header suspended due to usage,Header,DLR,NO,Check Header/Sender ID,Public SmartPing mapping,DOCUMENTED/PUBLIC
SmartPing,5214,HEADER_SUSPENDED_VALIDITY,Header suspended due to validity,Header,DLR,NO,Check Header/Sender ID,Public SmartPing mapping,DOCUMENTED/PUBLIC
